DATEADDED,Daily Average Tone
20150219,-0.10526315789473684
20150220,0.5609756097560976
20150221,1.4782608695652173
20150222,-2.7241379310344827
20150223,-0.5714285714285714
20150224,-2.757575757575758
20150225,-3.176470588235294
20150226,-0.5402298850574713
20150227,-1.2625
20150228,-0.2826086956521739
20150301,-2.6
20150302,-0.43103448275862066
20150303,0.26666666666666666
20150304,-0.4418604651162791
20150305,-2.0
20150306,0.6274509803921569
20150307,-0.23684210526315788
20150308,1.3181818181818181
20150309,0.6976744186046512
20150310,0.8214285714285714
20150311,0.15
20150312,1.0
20150313,-0.24242424242424243
20150314,-1.4827586206896552
20150315,3.0
20150316,0.9206349206349206
20150317,-0.07058823529411765
20150318,-0.9111111111111111
20150319,-1.7096774193548387
20150320,-1.21
20150321,-0.7272727272727273
20150322,0.8888888888888888
20150323,-0.47297297297297297
20150324,-0.21621621621621623
20150325,-0.17543859649122806
20150326,-0.10344827586206896
20150327,0.020618556701030927
20150328,0.6666666666666666
20150329,-1.0
20150330,-0.2153846153846154
20150331,-0.2857142857142857
20150401,0.7142857142857143
20150402,-1.1111111111111112
20150403,-2.280701754385965
20150404,-1.6285714285714286
20150405,-1.25
20150406,-0.23214285714285715
20150407,-0.5283018867924528
20150408,-0.2903225806451613
20150409,-0.20930232558139536
20150410,-0.5137614678899083
20150411,-1.170731707317073
20150412,0.38461538461538464
20150413,-0.03333333333333333
20150414,-0.9411764705882353
20150415,-0.2413793103448276
20150416,0.5652173913043478
20150417,-0.08823529411764706
20150418,1.8181818181818181
20150419,0.25
20150420,-0.21428571428571427
20150421,0.13513513513513514
20150422,-0.5892857142857143
20150423,-0.9240506329113924
20150424,0.7241379310344828
20150425,1.1
20150426,0.9230769230769231
20150427,-0.375
20150428,-1.4444444444444444
20150429,0.5588235294117647
20150430,-0.2608695652173913
20150501,0.5316455696202531
20150502,-0.15384615384615385
20150503,1.1
20150504,-1.125
20150505,-3.4680851063829787
20150506,0.07407407407407407
20150507,-0.1891891891891892
20150508,0.7012987012987013
20150509,-0.16
20150510,0.09090909090909091
20150511,-2.4571428571428573
20150512,-0.3508771929824561
20150513,-1.65625
20150514,-0.7419354838709677
20150515,0.08823529411764706
20150516,-0.8235294117647058
20150517,0.25
20150518,0.7636363636363637
20150519,-0.43617021276595747
20150520,-0.5402298850574713
20150521,0.07352941176470588
20150522,-1.3870967741935485
20150523,-0.21875
20150524,-1.1666666666666667
20150525,-1.7261904761904763
