DATEADDED,Daily Average Tone
20150219,-0.631578947368421
20150220,2.2439024390243905
20150221,20.130434782608695
20150222,-45.58620689655172
20150223,5.326530612244898
20150224,-114.83838383838383
20150225,-201.09803921568627
20150226,-58.41379310344828
20150227,-52.4625
20150228,4.108695652173913
20150301,-9.8
20150302,0.7241379310344828
20150303,1.8
20150304,-4.6976744186046515
20150305,-54.736111111111114
20150306,19.029411764705884
20150307,-1.5
20150308,23.477272727272727
20150309,7.209302325581396
20150310,14.892857142857142
20150311,6.35
20150312,8.071428571428571
20150313,5.181818181818182
20150314,-37.91379310344828
20150315,3.0
20150316,10.841269841269842
20150317,4.047058823529412
20150318,-18.288888888888888
20150319,-71.2741935483871
20150320,-78.48
20150321,-11.06060606060606
20150322,9.866666666666667
20150323,-10.513513513513514
20150324,-22.972972972972972
20150325,12.298245614035087
20150326,5.080459770114943
20150327,5.927835051546392
20150328,-1.9
20150329,-9.642857142857142
20150330,-11.46923076923077
20150331,-2.4761904761904763
20150401,14.028571428571428
20150402,-9.62962962962963
20150403,-54.94736842105263
20150404,-42.6
20150405,-3.125
20150406,9.125
20150407,-1.9811320754716981
20150408,-15.064516129032258
20150409,2.5736434108527133
20150410,-22.36697247706422
20150411,-25.048780487804876
20150412,3.1538461538461537
20150413,-5.866666666666666
20150414,-15.852941176470589
20150415,-4.206896551724138
20150416,8.73913043478261
20150417,1.5
20150418,19.136363636363637
20150419,6.7
20150420,-3.4285714285714284
20150421,-0.3783783783783784
20150422,-23.660714285714285
20150423,-49.151898734177216
20150424,12.96551724137931
20150425,14.2
20150426,3.6923076923076925
20150427,-12.65625
20150428,-37.77777777777778
20150429,17.558823529411764
20150430,-1.434782608695652
20150501,39.89873417721519
20150502,-8.076923076923077
20150503,4.4
20150504,-8.975
20150505,-79.63829787234043
20150506,-1.4444444444444444
20150507,2.72972972972973
20150508,5.35064935064935
20150509,-2.44
20150510,2.6363636363636362
20150511,-37.42857142857143
20150512,-7.333333333333333
20150513,-24.84375
20150514,-5.483870967741935
20150515,6.764705882352941
20150516,-17.88235294117647
20150517,1.0
20150518,8.89090909090909
20150519,-24.06382978723404
20150520,-33.48275862068966
20150521,-7.8088235294117645
20150522,-28.870967741935484
20150523,-17.0625
20150524,-0.8518518518518519
20150525,-73.23809523809524
20150526,-105.28421052631579
20150527,-62.774647887323944
20150528,-28.28125
20150529,18.9
20150530,-11.568181818181818
20150531,4.235294117647059
20150601,17.863636363636363
20150602,3.8181818181818183
20150603,12.478260869565217
20150604,-3.2857142857142856
20150605,30.227272727272727
20150606,-17.666666666666668
20150607,-89.05797101449275
20150608,-42.416666666666664
20150609,20.170212765957448
20150610,30.973333333333333
20150611,-35.12367491166078
20150612,-41.768595041322314
20150613,-69.42857142857143
20150614,16.91111111111111
20150615,18.468354430379748
20150616,-31.93548387096774
20150617,3.9518072289156625
20150618,-29.09375
20150619,-35.483870967741936
20150620,-22.45
20150621,-12.0
20150622,5.288888888888889
20150623,-37.707070707070706
20150624,-37.80952380952381
20150625,-21.784313725490197
20150626,-10.717948717948717
20150627,-2.1666666666666665
20150628,-6.5625
20150629,1.45
20150630,-10.333333333333334
20150701,10.027027027027026
20150702,-8.677966101694915
20150703,-1.1111111111111112
20150704,-6.6521739130434785
20150705,-20.79245283018868
20150706,-79.9748427672956
20150707,26.928057553956833
20150708,-55.686440677966104
20150709,-43.22093023255814
20150710,-8.268907563025211
20150711,-15.085714285714285
20150712,-37.111111111111114
20150713,-2.8783783783783785
20150714,-33.344
20150715,66.86842105263158
20150716,-3.091463414634146
20150717,-22.333333333333332
20150718,-31.62295081967213
20150719,2.0714285714285716
20150720,-6.183673469387755
20150721,51.56637168141593
20150722,-11.851851851851851
20150723,-87.73949579831933
20150724,-40.93181818181818
20150725,3.8842105263157896
20150726,26.166666666666668
20150727,-10.07865168539326
20150728,-2.891304347826087
20150729,-59.51260504201681
20150730,-40.3248730964467
20150731,-19.11764705882353
20150801,10.212121212121213
20150802,1.9565217391304348
20150803,-33.378787878787875
20150804,23.733333333333334
20150805,-36.127906976744185
20150806,30.859375
20150807,10.433333333333334
20150808,7.24
20150809,14.545454545454545
20150810,-8.235955056179776
20150811,48.407407407407405
20150812,29.120689655172413
20150813,-48.25
20150814,22.116666666666667
20150815,-78.7127659574468
20150816,-38.970873786407765
20150817,-90.12451361867704
20150818,-194.92164179104478
20150819,-110.62569832402235
20150820,-68.40579710144928
20150821,5.437956204379562
20150822,6.128205128205129
20150823,-42.524752475247524
20150824,-27.032967032967033
20150825,-15.147727272727273
20150826,-14.962962962962964
20150827,-1.8376068376068375
20150828,-40.4
20150829,-22.105263157894736
20150830,3.1
20150831,-8.11111111111111
20150901,17.547619047619047
20150902,-0.9466666666666667
20150903,-63.70786516853933
20150904,-47.93
20150905,-127.328125
20150906,-2.1475409836065573
20150907,-34.129411764705885
20150908,-78.38260869565218
20150909,13.090909090909092
20150910,-66.89156626506023
20150911,-23.040816326530614
20150912,-6.8076923076923075
20150913,-1.4444444444444444
20150914,-4.303030303030303
20150915,-62.0
20150916,-15.644444444444444
20150917,15.222222222222221
20150918,11.235294117647058
20150919,15.904761904761905
20150920,4.7368421052631575
20150921,75.21428571428571
20150922,-41.83157894736842
20150923,36.523809523809526
20150924,-4.588235294117647
20150925,-2.104651162790698
20150926,9.588235294117647
20150927,6.478260869565218
20150928,10.4
20150929,26.920289855072465
20150930,0.17105263157894737
20151001,-23.134453781512605
20151002,-4.658823529411765
20151003,-31.389830508474578
20151004,-16.704545454545453
20151005,2.264705882352941
20151006,5.924050632911392
20151007,-9.0
20151008,11.37
20151009,44.04
20151010,-8.083333333333334
20151011,-47.04651162790697
20151012,6.472222222222222
20151013,10.238805970149254
20151014,-28.71014492753623
20151015,13.103896103896103
20151016,18.75
20151017,44.78260869565217
20151018,10.0
20151019,-222.53807106598984
20151020,-60.03448275862069
20151021,1.8181818181818181
20151022,-33.869565217391305
20151023,-3.6589147286821704
20151024,-9.034883720930232
20151025,14.393939393939394
20151026,-24.2125
20151027,-25.82857142857143
20151028,-3.066666666666667
20151029,26.546296296296298
20151030,-74.04444444444445
20151031,-16.0
20151101,4.114285714285714
20151102,1.1549295774647887
20151103,24.453658536585365
20151104,-11.433962264150944
20151105,-2.851063829787234
20151106,22.969072164948454
20151107,-24.214285714285715
20151108,9.27659574468085
20151109,3.3943661971830985
20151110,24.808988764044944
20151111,28.7578125
20151112,-60.111111111111114
20151113,-254.84967320261438
20151114,-32.81927710843374
20151115,-77.44117647058823
20151116,-86.02777777777777
20151117,-12.764705882352942
20151118,-15.08695652173913
20151119,26.313725490196077
20151120,-42.51937984496124
20151121,-39.036144578313255
20151122,-90.78181818181818
20151123,-20.652631578947368
20151124,-97.50282485875707
20151125,-82.23529411764706
20151126,-49.072463768115945
20151127,-89.68103448275862
20151128,-17.384615384615383
20151129,-55.31372549019608
20151130,-11.820512820512821
20151201,-52.883720930232556
20151202,-53.803030303030305
20151203,-35.310344827586206
20151204,-17.043478260869566
20151205,18.58823529411765
20151206,3.9642857142857144
20151207,-4.851063829787234
20151208,-108.12222222222222
20151209,-13.177777777777777
20151210,-6.9
20151211,-14.064516129032258
20151212,8.833333333333334
20151213,-11.75
20151214,-21.25409836065574
20151215,-56.19387755102041
20151216,-15.122448979591837
20151217,-20.092307692307692
20151218,-122.93233082706767
20151219,3.7333333333333334
20151220,-17.07792207792208
20151221,-14.71830985915493
20151222,-9.578947368421053
20151223,17.30188679245283
20151224,-9.756756756756756
20151225,-21.0
20151226,3.7222222222222223
20151227,-10.38
20151228,35.111111111111114
20151229,25.797101449275363
20151230,-16.91111111111111
20151231,-20.627906976744185
20160101,-3.1176470588235294
20160102,-3.3448275862068964
20160103,5.0
20160104,-73.01612903225806
20160105,10.343283582089553
20160106,7.7368421052631575
20160107,-6.368421052631579
20160108,-4.72972972972973
20160109,-1.1818181818181819
20160110,-2.0
20160111,18.253731343283583
20160112,28.867469879518072
20160113,1.7118644067796611
20160114,-23.719101123595507
20160115,31.908163265306122
20160116,-29.903225806451612
20160117,3.411764705882353
20160118,5.0344827586206895
20160119,-32.82857142857143
20160120,-10.440677966101696
20160121,-21.764705882352942
20160122,41.6
20160123,-4.346938775510204
20160124,8.068965517241379
20160125,-42.24528301886792
20160126,-19.327272727272728
20160127,-5.771428571428571
20160128,-22.09090909090909
20160129,3.6091954022988504
20160130,-1.4509803921568627
20160131,-23.896551724137932
20160201,-36.163636363636364
20160202,29.847826086956523
20160203,-14.754098360655737
20160204,-4.364705882352941
20160205,-52.28048780487805
20160206,-10.931818181818182
20160207,-13.125
20160208,-18.90625
20160209,3.6823529411764704
20160210,20.602040816326532
20160211,6.211764705882353
20160212,13.833333333333334
20160213,-34.41269841269841
20160214,-43.5
20160215,12.92
20160216,22.0
20160217,-11.395061728395062
20160218,-28.26
20160219,-21.116504854368934
20160220,-4.914285714285715
20160221,-27.88
20160222,-173.46280991735537
20160223,-246.35353535353536
20160224,-89.13157894736842
20160225,-212.67961165048544
20160226,-29.892857142857142
20160227,-14.542857142857143
20160228,-35.660714285714285
20160229,6.6752136752136755
20160301,-14.942528735632184
20160302,3.902439024390244
20160303,21.644736842105264
20160304,-33.46218487394958
20160305,-13.392857142857142
20160306,-68.09411764705882
20160307,-30.38157894736842
20160308,-322.49717514124296
20160309,-455.75155279503105
20160310,-18.170103092783506
20160311,-279.5567765567766
20160312,19.8
20160313,-5.235294117647059
20160314,-7.195121951219512
20160315,31.293333333333333
20160316,-78.30666666666667
20160317,-77.36697247706422
20160318,23.050847457627118
20160319,21.057142857142857
20160320,3.25
20160321,-60.44
20160322,3.087378640776699
20160323,-20.080357142857142
20160324,9.787037037037036
20160325,14.475
20160326,12.066666666666666
20160327,13.181818181818182
20160328,3.75
20160329,-30.6
20160330,7.125
20160331,20.324675324675326
20160401,22.789473684210527
20160402,11.105263157894736
20160403,-4.466666666666667
20160404,-7.131578947368421
20160405,-33.6219512195122
20160406,-75.46666666666667
20160407,-38.23529411764706
20160408,9.352941176470589
20160409,6.228571428571429
20160410,-4.093023255813954
20160411,-28.72972972972973
20160412,-58.35064935064935
20160413,-86.97752808988764
20160414,1.4895104895104896
20160415,-19.396825396825395
20160416,-4.411764705882353
20160417,2.4782608695652173
20160418,13.666666666666666
20160419,32.08536585365854
20160420,36.054054054054056
20160421,42.77777777777778
20160422,-14.548387096774194
20160423,12.207792207792208
20160424,-16.11111111111111
20160425,-1.8867924528301887
20160426,-55.67948717948718
20160427,-82.30061349693251
20160428,-0.6413043478260869
20160429,-17.533898305084747
20160430,-15.352941176470589
20160501,31.228571428571428
