DATEADDED,Daily Average Tone
20150218,-2.857142857142857
20150219,-3.9705882352941178
20150220,-4.8842592592592595
20150221,-4.821428571428571
20150222,-2.854961832061069
20150223,-3.934306569343066
20150224,-2.3974358974358974
20150225,-1.4299065420560748
20150226,-2.406779661016949
20150227,-3.5294117647058822
20150228,-3.6491228070175437
20150301,-3.6758620689655173
20150302,-3.231075697211155
20150303,-1.463611859838275
20150304,-3.7167381974248928
20150305,-3.389830508474576
20150306,-3.9446808510638296
20150307,-2.6923076923076925
20150308,-3.9295774647887325
20150309,-2.30859375
20150310,-3.5240963855421685
20150311,-3.037037037037037
20150312,-3.6790697674418604
20150313,-3.3471337579617835
20150314,-2.9285714285714284
20150315,-2.445945945945946
20150316,-3.0725806451612905
20150317,-2.7911392405063293
20150318,-2.5775401069518717
20150319,-5.002293577981652
20150320,-3.4545454545454546
20150321,-4.089108910891089
20150322,-4.135593220338983
20150323,-2.2045454545454546
20150324,-2.4893617021276597
20150325,-2.4897360703812317
20150326,-0.8187702265372169
20150327,-2.0304054054054053
20150328,-2.168831168831169
20150329,-3.9473684210526314
20150330,-2.619047619047619
20150331,-1.4312796208530805
20150401,-2.342857142857143
20150402,-3.5252100840336134
20150403,-3.16289592760181
20150404,-3.467391304347826
20150405,-2.105769230769231
20150406,-2.8566666666666665
20150407,-3.45679012345679
20150408,-3.1486486486486487
20150409,-2.5485714285714285
20150410,-2.1381381381381384
20150411,-1.8516483516483517
20150412,-0.16091954022988506
20150413,-2.357615894039735
20150414,-2.23943661971831
20150415,-2.1989247311827955
20150416,-1.808888888888889
20150417,-2.039473684210526
20150418,-1.7228915662650603
20150419,-2.2745098039215685
20150420,-0.27722772277227725
20150421,-2.145985401459854
20150422,-1.6341463414634145
20150423,-1.7419354838709677
20150424,-2.422360248447205
20150425,-2.7569444444444446
20150426,-1.036144578313253
20150427,-1.0932642487046633
20150428,-0.612565445026178
20150429,-2.996941896024465
20150430,-3.2741312741312742
20150501,-3.2203389830508473
20150502,-3.9607843137254903
20150503,-1.4384615384615385
20150504,-2.4814814814814814
20150505,-2.56957928802589
20150506,-1.7967914438502675
20150507,-2.0728476821192054
20150508,-4.344978165938865
20150509,-3.4835164835164836
20150510,-0.6542056074766355
20150511,-3.0065789473684212
20150512,-3.4904942965779466
20150513,-1.8060453400503778
20150514,-2.111842105263158
20150515,-2.1152882205513786
20150516,-2.1666666666666665
20150517,-1.0178571428571428
20150518,-2.2658227848101267
20150519,-2.262135922330097
20150520,-2.9572649572649574
20150521,-3.4026548672566372
20150522,-2.9788135593220337
20150523,-3.1466666666666665
20150524,-2.0597014925373136
20150525,-2.150259067357513
20150526,-3.3173076923076925
20150527,-2.0583941605839415
20150528,-2.2038216560509554
20150529,-2.7835497835497836
20150530,-1.7058823529411764
20150531,-2.984848484848485
20150601,-4.928020565552699
20150602,-2.940379403794038
20150603,-2.09811320754717
20150604,-1.703971119133574
20150605,-1.4696969696969697
20150606,-2.2054794520547945
20150607,-2.5047619047619047
20150608,-3.9627659574468086
20150609,-1.9367088607594938
20150610,-1.1325301204819278
20150611,-2.156756756756757
20150612,-3.218978102189781
20150613,-2.462686567164179
20150614,-0.8611111111111112
20150615,-0.8729508196721312
20150616,-2.0570342205323193
20150617,-2.386138613861386
20150618,-1.4642857142857142
20150619,-1.9310344827586208
20150620,-2.169811320754717
20150621,-2.328358208955224
20150622,-2.348148148148148
20150623,-1.9313304721030042
20150624,-0.6454545454545455
20150625,-0.1930379746835443
