DATEADDED,Daily Average Tone
20150218,-14.285714285714286
20150219,-376.3921568627451
20150220,-475.39351851851853
20150221,-667.281746031746
20150222,-224.21374045801528
20150223,-494.7700729927007
20150224,-266.34615384615387
20150225,-130.97196261682242
20150226,-284.3135593220339
20150227,-241.59411764705882
20150228,-176.76315789473685
20150301,-256.4344827586207
20150302,-462.8167330677291
20150303,-248.36927223719675
20150304,-738.0944206008584
20150305,-568.6920903954802
20150306,-492.45106382978724
20150307,-218.82517482517483
20150308,-315.5211267605634
20150309,-284.65625
20150310,-534.3885542168674
20150311,-452.5959595959596
20150312,-356.92558139534884
20150313,-523.2770700636943
20150314,-132.88095238095238
20150315,-68.32432432432432
20150316,-536.760752688172
20150317,-439.4493670886076
20150318,-412.5401069518717
20150319,-1150.447247706422
20150320,-564.1724137931035
20150321,-245.5148514851485
20150322,-223.0677966101695
20150323,-199.66477272727272
20150324,-391.8005319148936
20150325,-430.5131964809384
20150326,-126.11650485436893
20150327,-326.8243243243243
20150328,-103.58441558441558
20150329,-154.30263157894737
20150330,-279.3511904761905
20150331,-181.23222748815166
20150401,-365.6920634920635
20150402,-449.73949579831935
20150403,-315.07239819004525
20150404,-306.6141304347826
20150405,-141.69230769230768
20150406,-460.45666666666665
20150407,-641.5432098765432
20150408,-393.07094594594594
20150409,-458.24857142857144
20150410,-296.7267267267267
20150411,-232.13736263736263
20150412,5.252873563218391
20150413,-219.34437086092714
20150414,-175.3450704225352
20150415,-165.74193548387098
20150416,-193.11555555555555
20150417,-162.23684210526315
20150418,-59.12048192771084
20150419,-41.86274509803921
20150420,-14.386138613861386
20150421,-170.52554744525548
20150422,-100.14634146341463
20150423,-105.71774193548387
20150424,-143.2111801242236
20150425,-145.84722222222223
20150426,-49.68674698795181
20150427,-104.76165803108809
20150428,-65.92146596858639
20150429,-462.3914373088685
20150430,-458.66795366795367
20150501,-215.28248587570621
20150502,-229.69607843137254
20150503,-88.65384615384616
20150504,-188.20634920634922
20150505,-361.1326860841424
20150506,-130.36363636363637
20150507,-162.7019867549669
20150508,-470.06113537117903
20150509,-375.3131868131868
20150510,-20.747663551401867
20150511,-234.01315789473685
20150512,-493.16730038022814
20150513,-340.1309823677582
20150514,-260.3453947368421
20150515,-469.0751879699248
20150516,-82.71428571428571
20150517,-107.25
20150518,-219.73839662447259
20150519,-142.04368932038835
20150520,-412.54700854700855
20150521,-387.1106194690266
20150522,-371.22457627118644
20150523,-120.52
