DATEADDED,Daily Average Tone
20150219,-11.11320754716981
20150220,24.333333333333332
20150221,26.363636363636363
20150222,5.379310344827586
20150223,20.060606060606062
20150224,5.485294117647059
20150225,12.435483870967742
20150226,-15.55
20150227,-20.514851485148515
20150228,-36.54761904761905
20150301,14.068965517241379
20150302,-3.7636363636363637
20150303,-26.97029702970297
20150304,-39.36585365853659
20150305,1.7676767676767677
20150306,8.472972972972974
20150307,-3.6206896551724137
20150308,12.363636363636363
20150309,3.3541666666666665
20150310,29.4375
20150311,-1.606060606060606
20150312,-52.12048192771084
20150313,-23.692307692307693
20150314,11.481481481481481
20150315,3.888888888888889
20150316,13.8125
20150317,-35.76470588235294
20150318,-22.0
20150319,14.285714285714286
20150320,-33.04761904761905
20150321,-7.84
20150322,-17.904761904761905
20150323,-37.63855421686747
20150324,13.27450980392157
20150325,-19.151515151515152
20150326,5.17948717948718
20150327,5.111111111111111
20150328,3.375
20150329,2.3333333333333335
20150330,-3.057142857142857
20150331,-17.04
20150401,-4.109375
20150402,-1.2045454545454546
20150403,27.766666666666666
20150404,8.242424242424242
20150405,-1.0
20150406,0.0975609756097561
20150407,-12.324675324675324
20150408,25.158730158730158
20150409,13.448275862068966
20150410,-6.142857142857143
20150411,6.7894736842105265
20150412,-9.11111111111111
20150413,6.25
20150414,-41.68181818181818
20150415,-3.04040404040404
20150416,23.40875912408759
20150417,30.72641509433962
20150418,8.105263157894736
20150419,-0.23076923076923078
20150420,-8.407407407407407
20150421,82.00980392156863
20150422,62.391891891891895
20150423,15.16842105263158
20150424,-53.42528735632184
20150425,-14.65625
20150426,6.9523809523809526
20150427,2.3636363636363638
20150428,0.037037037037037035
20150429,14.475409836065573
20150430,21.423076923076923
20150501,-65.5609756097561
20150502,-1.8888888888888888
20150503,-5.333333333333333
20150504,6.470588235294118
20150505,6.835051546391752
20150506,-15.773333333333333
20150507,-22.80952380952381
20150508,-26.547169811320753
20150509,-16.6875
20150510,9.882352941176471
20150511,-10.333333333333334
20150512,36.861111111111114
20150513,-8.660377358490566
20150514,-14.046875
20150515,-48.409937888198755
20150516,2.6862745098039214
20150517,8.525641025641026
20150518,3.164705882352941
20150519,-6.48936170212766
20150520,-14.872340425531915
20150521,5.7272727272727275
20150522,-21.03448275862069
20150523,1.7619047619047619
20150524,-18.607142857142858
20150525,-109.54054054054055
20150526,-36.97674418604651
20150527,-56.753846153846155
20150528,7.586956521739131
20150529,0.07692307692307693
20150530,-4.0588235294117645
20150531,-82.17241379310344
20150601,42.15384615384615
20150602,42.87719298245614
20150603,-12.352941176470589
20150604,-17.191176470588236
20150605,-12.6875
20150606,-10.057142857142857
20150607,23.705882352941178
20150608,-25.227777777777778
20150609,-8.06936416184971
20150610,20.576271186440678
20150611,-3.182795698924731
20150612,2.9690721649484537
20150613,-39.372549019607845
20150614,-2.4
20150615,4.857142857142857
20150616,-20.685714285714287
20150617,-16.372549019607842
20150618,-4.178571428571429
20150619,49.02564102564103
20150620,8.333333333333334
20150621,-4.0
20150622,9.571428571428571
20150623,-21.0
20150624,-6.593220338983051
20150625,-8.666666666666666
20150626,-27.533333333333335
20150627,13.461538461538462
20150628,-11.375
20150629,1.28125
20150630,0.5757575757575758
20150701,7.0476190476190474
20150702,-5.3076923076923075
20150703,-46.96153846153846
20150704,-5.529411764705882
20150705,-13.0
20150706,-41.3125
20150707,39.609756097560975
20150708,57.79289940828402
20150709,5.554054054054054
20150710,-3.1875
20150711,-4.454545454545454
20150712,4.8
20150713,-51.59615384615385
20150714,-11.362068965517242
20150715,-45.120253164556964
20150716,-30.525
20150717,13.471264367816092
20150718,22.314285714285713
20150719,7.48936170212766
20150720,14.222222222222221
20150721,-0.3611111111111111
20150722,21.074074074074073
20150723,51.23076923076923
20150724,-81.7005076142132
20150725,-8.880952380952381
20150726,-8.535714285714286
20150727,-2.8309859154929575
20150728,5.787356321839081
20150729,24.118518518518517
20150730,32.61904761904762
20150731,15.741935483870968
20150801,9.0
20150802,11.75
20150803,-11.076923076923077
20150804,-18.63157894736842
20150805,122.76492537313433
20150806,48.093023255813954
20150807,5.368794326241135
20150808,8.185185185185185
20150809,23.98
20150810,-54.483870967741936
20150811,-65.3125
20150812,8.015873015873016
20150813,8.672413793103448
20150814,16.096153846153847
20150815,6.222222222222222
20150816,-7.4
20150817,-0.9333333333333333
20150818,-16.14516129032258
20150819,-7.268041237113402
20150820,-3.9324324324324325
20150821,-21.093220338983052
20150822,9.147058823529411
20150823,-0.42857142857142855
20150824,-22.264367816091955
20150825,-23.5625
20150826,-25.356164383561644
20150827,-26.98611111111111
20150828,4.12
20150829,-7.5476190476190474
20150830,-8.894736842105264
20150831,-3.92258064516129
20150901,-22.6
20150902,29.357142857142858
20150903,-34.36274509803921
20150904,-11.127118644067796
20150905,-2.5121951219512195
20150906,34.473684210526315
20150907,15.636363636363637
20150908,16.533333333333335
20150909,18.94
20150910,-1.898989898989899
20150911,4.4125
20150912,18.61111111111111
20150913,-2.4166666666666665
20150914,29.727272727272727
20150915,9.357142857142858
20150916,-70.9186046511628
20150917,77.85046728971963
20150918,35.30337078651685
20150919,4.75
20150920,6.625
20150921,50.06818181818182
20150922,36.617283950617285
20150923,9.973333333333333
20150924,5.40625
20150925,23.513513513513512
20150926,8.319148936170214
20150927,-0.9333333333333333
20150928,-8.38888888888889
20150929,-81.93203883495146
20150930,11.1125
20151001,-8.266666666666667
20151002,19.253968253968253
20151003,20.434782608695652
