DATEADDED,Daily Average Tone
20150218,6.0
20150219,2.45
20150220,3.4565217391304346
20150221,2.0869565217391304
20150222,-0.75
20150223,1.7272727272727273
20150224,33.81395348837209
20150225,18.529411764705884
20150226,1.0
20150227,1.375
20150228,-8.947368421052632
20150301,3.3333333333333335
20150302,2.0
20150303,-6.157894736842105
20150304,-34.78260869565217
20150305,0.0
20150306,-7.0
20150307,19.964285714285715
20150308,-8.628571428571428
20150309,-25.044117647058822
20150310,-17.591836734693878
20150311,-4.0
20150312,6.2592592592592595
20150313,-4.285714285714286
20150314,-2.3333333333333335
20150315,2.0
20150316,-12.535714285714286
20150317,15.512820512820513
20150318,13.403846153846153
20150319,34.411764705882355
20150320,5.945945945945946
20150321,21.62162162162162
20150322,0.0
20150323,16.344827586206897
20150324,-2.2
20150325,4.357142857142857
20150327,-4.358974358974359
20150328,-7.666666666666667
20150329,0.0
20150330,-6.857142857142857
20150331,2.0625
20150401,2.7333333333333334
20150402,13.821428571428571
20150403,6.753846153846154
20150404,0.12
20150405,-0.6111111111111112
20150406,-0.047619047619047616
20150407,3.0
20150408,8.411764705882353
20150409,11.0
20150410,6.9411764705882355
20150411,3.727272727272727
20150413,3.95
20150414,-9.5
20150415,7.574468085106383
20150416,9.16
20150417,7.733333333333333
20150418,-0.3333333333333333
20150419,-3.3636363636363638
20150420,-7.424242424242424
20150421,2.8
20150422,6.333333333333333
20150423,0.17391304347826086
20150424,14.439024390243903
20150425,0.8823529411764706
20150426,-1.0625
20150427,-18.49019607843137
20150428,-0.9090909090909091
20150429,8.137931034482758
20150430,7.6923076923076925
20150501,10.597285067873303
20150502,8.089285714285714
20150503,9.068965517241379
20150504,8.681818181818182
20150505,17.263157894736842
20150506,-8.654545454545454
20150507,-55.152
20150508,5.17948717948718
20150509,-7.068965517241379
20150510,-31.661290322580644
20150511,3.9871794871794872
20150512,-45.541666666666664
20150513,-11.911111111111111
20150514,-15.904761904761905
20150515,5.571428571428571
20150516,4.428571428571429
20150517,0.0
20150518,0.696969696969697
20150519,-7.517241379310345
20150520,-7.5
20150521,-0.7111111111111111
20150522,17.705882352941178
20150523,3.3333333333333335
20150524,-20.76923076923077
20150525,-18.3125
20150526,-2.727272727272727
20150527,1.4285714285714286
20150528,4.666666666666667
20150529,7.071428571428571
20150530,-0.08333333333333333
20150531,2.5
20150601,1.2549019607843137
20150602,-16.202898550724637
20150603,12.75
20150604,0.9
20150605,8.333333333333334
20150606,4.75
20150607,1.5384615384615385
20150608,0.7307692307692307
20150609,-1.1714285714285715
20150610,73.43617021276596
20150611,10.416666666666666
20150612,5.619047619047619
20150613,22.0
20150614,4.5
20150615,7.833333333333333
20150616,4.161290322580645
20150617,6.9
20150618,0.6363636363636364
20150619,6.588235294117647
20150620,6.545454545454546
20150621,4.428571428571429
20150622,9.4
20150623,2.5714285714285716
20150624,1.1764705882352942
20150625,0.11764705882352941
